model,appearances,wins,losses,win_rate,ci_low,ci_high
Gemini-2.5-Flash,1,1,0,1.0000,0.2065,1.0000
Gemini-3.6-Flash,1,1,0,1.0000,0.2065,1.0000
Gemini-2.5-Pro,5,4,1,0.8000,0.3755,0.9638
Claude-Opus-5,4,3,1,0.7500,0.3006,0.9544
Gemini-3.1-Pro-Preview,7,5,2,0.7143,0.3589,0.9178
GPT-5.2,6,4,2,0.6667,0.3000,0.9032
GPT-4.1-Mini,11,5,6,0.4545,0.2127,0.7199
GPT-5.2-High,5,2,3,0.4000,0.1176,0.7693
Gemini-2.5-Flash-Lite,5,2,3,0.4000,0.1176,0.7693
Gemini-3-Flash-Preview,5,1,4,0.2000,0.0362,0.6245
GPT-4o,6,0,6,0.0000,0.0000,0.3903
